Appliance,Max Energy,Max Power
Usage,155981.989722,4889.4513889999998
Generation,0.0,-0.0
2: CooktopControlPanel,475.47805600000004,5.8761109999999999
4: RangeHoodPanel 2,3007.4102779999998,29.936111
14: MAU ,19788.461944000002,248.97166699999997
22: Cooktop,62543.799721999996,992.26861099999996
26: MAU2,70168.331388999999,3612.3988889999996
Usage,261762.97416699998,4889.4513889999998
Generation,0.0,-0.0
3: KitchenReceptacles2,1411.1913890000001,0.25972200000000001
1: KitchenReceptacles-microwave,45846.482778000005,49.094166999999999
5: Fridge,50042.969721999994,24.408888999999999
9: Freezer unused,168290.38194399999,0.058888999999999997
11: Oven,70137.188055999999,834.52638900000011
15: No Label,140427.25833300001,0.309722
21: Dishwasher,127519.66,1238.582222
